Trial,Row,Column,Treatment,PlotNum,FieldRow,FieldCol
1,1,1,check4,1,1,1
1,1,2,check1,2,1,2
1,1,3,new43,3,1,3
1,1,4,new3,4,1,4
1,1,5,check5,5,1,5
1,1,1,new16,10,2,1
1,1,2,new41,9,2,2
1,1,3,check2,8,2,3
1,1,4,new8,7,2,4
1,1,5,new2,6,2,5
1,1,1,new46,11,3,1
1,1,2,new36,12,3,2
1,1,3,new27,13,3,3
1,1,4,check3,14,3,4
1,1,5,new34,15,3,5
1,2,1,new5,20,4,1
1,2,2,new22,19,4,2
1,2,3,new28,18,4,3
1,2,4,new49,17,4,4
1,2,5,new50,16,4,5
1,2,1,check2,21,5,1
1,2,2,new38,22,5,2
1,2,3,check5,23,5,3
1,2,4,new40,24,5,4
1,2,5,new44,25,5,5
1,2,1,new15,30,6,1
1,2,2,check4,29,6,2
1,2,3,new26,28,6,3
1,2,4,check1,27,6,4
1,2,5,check3,26,6,5
1,3,1,new9,31,7,1
1,3,2,new48,32,7,2
1,3,3,check4,33,7,3
1,3,4,check5,34,7,4
1,3,5,check2,35,7,5
1,3,1,check1,40,8,1
1,3,2,new17,39,8,2
1,3,3,new32,38,8,3
1,3,4,new6,37,8,4
1,3,5,new19,36,8,5
1,3,1,new39,41,9,1
1,3,2,check3,42,9,2
1,3,3,new42,43,9,3
1,3,4,new12,44,9,4
1,3,5,new24,45,9,5
1,4,1,check5,50,10,1
1,4,2,check2,49,10,2
1,4,3,check3,48,10,3
1,4,4,new11,47,10,4
1,4,5,new7,46,10,5
1,4,1,new10,51,11,1
1,4,2,new35,52,11,2
1,4,3,new37,53,11,3
1,4,4,new33,54,11,4
1,4,5,check1,55,11,5
1,4,1,new20,60,12,1
1,4,2,new1,59,12,2
1,4,3,new47,58,12,3
1,4,4,check4,57,12,4
1,4,5,new14,56,12,5
1,5,1,new30,61,13,1
1,5,2,new29,62,13,2
1,5,3,new45,63,13,3
1,5,4,new13,64,13,4
1,5,5,new23,65,13,5
1,5,1,check3,70,14,1
1,5,2,new4,69,14,2
1,5,3,new18,68,14,3
1,5,4,check2,67,14,4
1,5,5,check4,66,14,5
1,5,1,new31,71,15,1
1,5,2,check5,72,15,2
1,5,3,check1,73,15,3
1,5,4,new25,74,15,4
1,5,5,new21,75,15,5